label,text
0,"The microphone output of these headphones is very disappointing. My first call with them, and the person I called immediately complained that they couldn't hear me. Later I tried it myself on my phone and it was very poor audio. These might be OK earbuds for listening to music, but if you intend to have a phone conversation with them they are not going to make you (or those you call) very happy."
1,I bought these to walk on the treadmill and wash dishes.  They are easy to use and I'm satisfied with my purchase.
1,Music plays awesome and noise reduction is really great. It fits perfectly on my ear.
1,"This is my second pair.  The connection on the left ear started to go bad after heavy use.  I almost got the newer version, but there were too many complaints about the ear piece."
1,Very impressed with the price and quality of the product. I used them for running and they work and sound great.
1,Great product and at a great price!! Thank you
1,4 sets for four different people everyone likes them and the price was unbeatable
1,Excelent! Very Cool!
1,The LED light showing status/battery level/ etc. is very small - But I liked the light bluetooth headphone.
1,Very pleased with the product. I do not know what Moisture Wicking. I do not comment on that.  Thanks
1,Great
1,Very comfortable fit and sound is nearly equal in quality to my 300.00 Denon over-ear headphones. Quite a bargain and purchased another set as a gift.
0,All around bad product... the sound is mediocre at best... Battery life is shorter than expected... and it def isn't water proof. The ear pieces came apart as soon as they came in contact with water (See Photo)
1,Good
1,"Sound quality not as dynamic as expected. They are comfortable in the ears, easy connect."
1,"Husband ordered these and he sweats a lot while running or working out and has tried a few different wireless headsets. Out of the different products he has tried this has been the best especially for the cost. He recently had issues with them, but got them instantly exchanged by the company with no hassle at all. Cheap but good headphones, honest company with a 2 day turnaround on the warranty exchange."
1,These are the best earphones I’ve had ever. They fit nice and have a great sound
1,The headphones are great! Customer service is amazing!
1,Bought these headsets to listen to music and podcasts while in the jacuzzi. Great product! Sound is wonderful. The controls are easy and logically placed for smooth operation with wet hands. The ear piece that wraps around the back of ear is flexible for a custom fit. Highly recommend.
1,"Much better sound due to the design. Also, they do not hurt.<br />They fit inside the Ear canal. Deep, inside.  However, don't bother trying to have a phone conversation with them.. Siri can barely operate."
1,"Only used them for 2 days and they are killer so far... super long battery life.... but like I said, only 2 days so far.... we shall see... great customer service."
1,excellent
1,Amazing
0,"if you're working out and getting sweaty, these are not the earbuds for you"
1,Great quality and long lasting.
1,"I absolutely love these earbuds!!! I only encountered one problem while I was at the gym. If I was using the weight machines there was not a problem but as soon as I started the treadmill, I had no music. This could very well be a problem with the service provider. Other than that I am totally happy with the product and delivery! Would not hesitate recommending it to anyone. Thank you!"
1,"My ONLY complaint would be regarding the cord that goes between the two earpieces.  I found it a bit annoying.  The material that it is made of is a little ""grabby.""  I wonder if they could use a different material that would slide more easily instead of grabbing against clothing?  Otherwise, everything else about this product is great; certainly an excellent value for the money!"
1,"I have mixed feelings about the earphones.<br />Pros:<br />Nice Clear Sound<br /><br />Cons:<br />1. Gives me a headache while all other headphones that I use do not give me a headache.<br />2. Even when the sound is literally at the lowest level, it screams &#34;LOW BATTERY&#34; very LOUDLY. Makes one jump from the screaming. I would understand if someone is listening to loud music at a high sound level and it screams, then ok, but when one is listening to very soft music at the lowest sound level , the loud screaming becomes out of the norm."
1,Wonderful sound!!!!!
0,"Device was on Delivered May 8, 2018 and it is already failing. Is there any Bluetooth device vendor that sells a quality product? This one will not turn on unless I press the button about a 1000 x. I might get lucky, it will come on.<br /><br />I hate looking for a new device every 4 months .... Is this programed obsolescent sales approach? If so, brilliant. I will add this one to the pile of failed devices I a;ready have."
1,"Had for quite a while. Use 3x a week when I workout and sometimes at work. Battery lasts nicely, don't have to worry if I forget to charge it for a couple days. Lasts me about 10 hours of use. They've held up well but the piece covering the charge hole did fall out. To be expected imo given the nature of how I use them."
1,I have no complaints these headphones work great and the price is great as well!
1,Good wireless headphones at a great price.  Also good warranty.  One side stopped working after 10 months and they honored the warranty.
0,"I actually love these and use them all the time as my Bluetooth for phonecalls and for listening to music.  However I have gone through 4 pairs now and eventually it just stops charging.  One lasted about a year before this happened, others a few months, and my most recent buy only lasted 1 month.  I like this product for the price but I can tell they are making them more and more inferior as their sales increase.  I am very annoyed with my last purchase as my ""1 month return window"" has expired which is a load of crap for a tech item."
1,"Fantastic, fits great with the provided ear tips.  The proper size ear tip is vary important.  I just love this item."
0,The noise cancelation isn't good. I got a warrantee and I was unable to get a hold of anyone via email. Headset stopped working at one point working again. But the static noise is awful my customers complain alot they can't hear me.
1,"The sound quality on these headphones is crystal clear. The unit itself is very easy to set up and easy to use. It comes with a number of different accessories that I probably won't use but it's the thought that counts. Like for instance the car adapter, I must have 30 of these things. 25 in the car somewhere, under the seat maybe, I don't really know, I've looked for one but cannot find it. so I just use the recharge cord in in the house. I had this unit up and running in under 30 minutes, it was easy and I was very surprised at how well it sounded. The headphones themselves are very light and comfortable, which you would think would make this set tinny and not very soundproof, but that's not the case. The music or podcast is very present and noise from the outside does not leak in, even at a low volume. I talk to myself a lot and need this as a way to cover for the voices that I hear, I bought them to be able to pretend to be on a call. Oops, gotta go, gotta call coming in. Would recommend."
0,"It has been roughly around three months since I purchased these and were pleased with them up until now. The rubber material that protects the inner wires to connect from the right earbud to the left, merely ripped open. Now everytime I use them, the audio drops every time I do any sort of movement. Perhaps, it is not the right earbuds to use for running or biking? It just did not seem like it is durable in constant contact with outdoor rough environments."
1,Nice and good for training. But for noise canceling it is not as written
1,Great earbuds with good distance from the phone. Comfortable and a great sound. Two thumbs up - one for the quality and one for the price!
1,"The headphones are pretty good and just what I expected.  What was surprising however, was the customer service I received after the sale.  After about 6 months of every day use during exercise, the SENSO headphones failed to power up.  Without much hope, I sent an email to Invotek on a Sunday morning to let them know they stopped working.  To my surprise, I received an email a few hours later (on a Sunday) with a few things to try in order to repair the headphones (essentially a factory reset).  I was able to get around to trying that on Monday morning and unfortunately that did not work so I emailed again to let Invotek know.  They responded again extremely quickly and notified me an order for a replacement set had been processed and was on its way.  For the price paid for the headphones I was happy with the product.  I am blown away by the customer service though and will certainly recommend them as a company that stands behind their product.  Get these headphones, you will love them for exercise and every day use.  You will have piece of mind knowing that if something should go wrong, the manufacturer will be there for you."
1,I would buy these over an expensive pair of headphones any day! They fit your ear almost perfectly!
0,Did not even charged battery the first time I tried it<br />Amazon is selling this Item which is a piece of garbage and is asking a high price for it
1,"Order these!!!  I love them. I'm not a huge earbud lover, but these are awesome.  Easy to use. Stay in place even during the sweatiest workouts. And the sound quality is excellent.  What a find!!!"
1,"The sound is great, the price is great but I dont like the fitting of these earphones. The silicon fit around the ear is horrible. Doesn't fit on my ear correctly."
0,I ordered this and just received it today. It doesn't appear to be damaged at all. There is a major mix up in the charging cable connection. It doesn't come with the correct connection. I clicked on the seller information and it has a number. I dialed so called number and it notes this number is no longer in service. I know I didn't pay too much for these but seems wrong. They look as advertised and look good but I can't charge them.
1,The best ones I had so far
0,Was loosing connection. Didn't work very welll.
0,Stopped working after a few weeks. Junk
1,Love these. Great for somebody not looking to spend a ridiculous amount of money for wireless ear buds.
1,These are the best..have tried others that were more expensive and these are better than those!!!  I have told all my girl friends about them .. please do buy them you will not be disappointed!!!
1,Best bluetooth ever!!!!
1,"I got them for jogging.  However, I first tried the different sizes provided to find the best fit and sound. As with all earbuds, a good fit will make the sound (particularly the base) much better. It sounded OK with the supplied middle size silicone tips, and better with the larger ones (I have large ear canals) but when I put in the foam tips I was blown away as to how good these guys sound! very rich and full of base. I swear, I could feel the deep tones in my bones - just like with my expensive speakers.  I then wore them for several hours while I worked around the house - very comfortable.  Today, I finally took them for a run - perfect! they stayed in place and continued to give me great sound!"
1,The sound quality of these headphones is very good and they easy fit over ears and are very comfortable. This is a very good buy for the price because the sould quality rivals that of some of the over $100 headphones.
1,"I am not an expert but I have bought many earphones and these are one of the best. The value is great, they fit well and offer a full range of sounds. For earbuds it has great bass but it can overpower the treble. However, if you want a good sounding earbuds that won't fall out running or lifting weights these are the ones to get without shelling out $300. You'll like them."
0,Already not working!!
1,"A lot of extra goodies that come with the earbuds.  My first set didn't work, and after emailing them, they did a great job resolving my issue.  Thank you, Senso.  They work great.  I recommend."
1,I bought these to use on my bike rides they have good sound quality no matter what ear buds I tried could not keep the wind noise out so now use them around the house yard work etc
1,Very light and comfortable. Great sound.
1,"Great customer service and product!  I order 2 pairs.... one for my husband and one for myself. The pair I received worked great. Sound was great and were really soft in my small ears. However, the pair my husband received had some kind of glitch.... wouldn't pair with his phone.  Contacted Senso customer service and they are sending another pair right away'"
0,I bought them a couple of months ago and now the left ear doesn’t work!
1,"Very comfortable, good battery life"
0,This product fell apart quick
1,"Amazing headphones, I workout 6 days a week and seat profusely, these things have been going strong for over 6 months, never had an issue connecting. Long battery life lasts me about a week."
1,"...they sound great for my purposes.  They fit well and I can jog, train martial arts, really jump around.  They don't come loose.  Cord is not an inconvenience.  These are a great set of headphones for the price.<br /><br />Only con I have is that the bluetooth range feels more like ten feet before it starts to break up.  30' might be the absolute max range at which you can get a weak signal.  Playing music from my Samsung phone I get about 10'.  That's good enough for most of my purposes."
1,"I am quite happy with the Senso ear buds, they work well, sound quality is great for what I need, impressed with battery life, light weight and handy carrying case. Great for music and calls. This is a great buy."
1,Every other headphone I've used has died in one ear or stopped working after a short time. These lasteed over 2 years and only needed replacement because I slammed one in the car door and crushed it.
0,Wouldn't stay in my ears at all. Apple Airpods are way better and the way to go!
1,"I was trying to find earbuds to work with my Apple iPad2 and these earbuds work really well for that purpose.  Not as good sound quality as I thought they might be, but it works for what I am using it for."
1,Very nice headset for people who don't do well with earbuds. Quality is great and the sound is awesome.If you want elite sound spend elite money if your looking for a good buy with great sound these are what your looking for.
0,Was a good product while it worked
1,So far they are great just got back from walk and I received phone call went well. Thanks for reaching out preety cool.<br />A
1,"Bought these for my son, he hasnt really used them yet, but I found them to be easy to use (albeit it was a little hard to charge initially)"
1,"Great for Cardio Workouts, stay on! Sweat is not a problem with them. And they have a great battery life and bluetooth range!"
1,"Wasn't sure what to expect as id never heard of this brand or owned anything similar. I've used these for about a year now for work nearly everyday (I used them while washing cars). I've gotten them wet many times and never a problem, easy to use and sound great!"
1,"Amazing for the price. Love them. Great accessories. A bit dull/bass-heavy for audio books, but could be a factor of ear-bud size/how deep you like to put them into your ears."
1,"I've had these for a month now and they are definitely worth the money.  Fit is good and the hooks keep them on my ears where other buds fall out.  The sound is very good, also.  I'd buy another set without a second thought"
1,"These make exercise bearable!  Comfortable and easy to use, w/ a compact yet sturdy case.  Came w/ 3 different sizes of ear plugs.  I would STRONGLY recommend these."
1,I only had these for six months and the left ear is already cutting in and out! The sound quality is absolutely magnificent and these are perfect for man on a bench lifting weights or running because they was behind the ear! The return policy from the manufacturer says one year but I will have to look into it because I do not have a return option here on Amazon anymore! But if you are looking for deep bass and excellent call Quality then these I can recommend! It's just the longevity of it that I question!
1,"Best Bluetooth phones I ever owned. Connect instantly, Good sound and volume, Bigger than the 300 dollar earbud type that I used in the past. But stay in the ear when jogging or walking. Good product."
0,They worked perfectly well for a couple of months but now they will no longer connect with my phone. I am able to get them paired occasionally but they still don't seem to want to connect.
1,"These are the third pair of bluetooth headphones I've purchased in the last 6 months and found these to be a winner. I had trouble with the previous two pair staying in my ears and was continually adjusting them. I have worked out several times with these and find they require little or no adjustment as I go through my workout. I haven't run with them but walking, using an elliptical and stationary biking have all been great. I find the sound quality much better than my Apple EarPods. The are easy to pair, adjust volume and change tracks as I listen to my iPhone or iPod. They are very light, and in my opinion, look great. The headphones also come with several goodies. They include a 2 port car charger and a USB - lightning/mini cable."
1,"Ok sound quality, low end is lacking and muddied but I can't complain for the $10/free shipping price I paid, and it being wireless.  It stayed in place pretty well so will work great for active usage.  It's a bonus that it comes with a car charger and a couple of USB cables."
1,Love these! Have bought two of these (lost a pair in an airport!).. Love the ability to charge my phone and the headphones with the same cord!!
0,They worked great for two months BUT then stopped working last week.  So my review will be better if they are replaced and work properly for a couple of years.
1,"Excellent packaging, good sound quality and comfortable."
1,Comfort and ease of use are great. So far I haven't tried using these earphones in the pool but I assume they will function well.
1,Very nice quality and sound
1,"These headphones are amazing !!! Great quality , very loud !! The bass is little too strong but it can be easily fixed by equalizer ! Also battery holds forever ! I got my headphones on Tuesday and I used it every day for 4 days without charging them !"
1,"The headphones work superb, I love them"
0,Very uncomfortable to wear. This was a gift and I bought too early and could not return.
1,Excellent product and service
1,"Nice sound.  I like the various sizes of buds included.  Wish the piece that goes around the outer ear was adjustable.  It’s only a piece of flexible rubber, so it doesn’t provide much security if the ear bud loosens from the canal."
0,"I’ve had these headphones for several months and have finally concluded that they are uncomfortable and not quite effective.  When using with my iPhone, I hear only out of the right ear piece.  The ear pieces keep falling off my ears and the clasp to hold the cable together easily slips off, even getting lost once.  I’ve just ordered another type but still SENSO."
1,Its a good cheap efficient wireless earbuds but I hate how much right side always falls out I've tried everything...
1,"Same as a few other bluetooth headsets here..literally! my hubby ordered one pair, I ordered another and they both are Meh as far as sound goes.<br />they WORK...but they def do not sound better than the OEM corded headphones."
1,Love them. I like the way they fit. The ear wrap pieces are soft and flexible. I also like the case and extras that came with the headphones. It is so nice to be wireless.
0,Quality is good ...sound is OK but the one I got has horrible connection....it cuts off with my phone just being in my pocket
1,"This is my third pair of Sensos. They are incredibly good. Especially for the price and for working out. They actually stay in your ears, even if you are sweaty. The sound is great and they come with a bunch of attachments to personalize your listening. A really great product."
1,It goes out every now and then when the phone is in my pocket which is annoying but overall I'm happy
1,"Excellent headphones. Very comfortable, clear sound, good connection. Paired easily with iPhone7. Recommend highly."
1,Battery life only about 3 hrs
1,"These are actually amazing headphones, long battery life and amazing quality AAAND at an amazing price. The best wireless headphones ever. Period."
1,Senso Bluetooth headphones are amazing! I’ve had my first pair almost two years and using them a close to 2 hours a day. Have yet to have an issue and so great I bought a second pair to keep at work. The quality is unbelievable and price is amazing.
1,"Pretty good gym headphones. Great battery life, comfortable and they feel solid. A little bass heavy for my taste but other that I have no complaints."
1,Excellent sound quality! the bluetooth is easy to connect and works great.
1,Need to return this product ASAP. They just like snapped in half on me one day while jogging and trying to adjust them. Overall I do like the sound quality and the fact that I have the option to answer my phone.
0,The first one i purchased lasted 10 months before the battery went dead and the replacement pair only lasted 3 months.  Spend your money elsewhere.
0,"Sound was ok for this price range. Bluetooth range was less than 2 feet. Couldn’t even run paired to my phone or Apple Watch without cutting out constantly. Bummer, you get what you pay for."
1,"These are great headphones!! They work excellent, the sound quality is great and the added bonus is the phone call quality. Will definitely recommend these!"
1,Its hurt when I put it on my ear .
1,This is a very good product and economical compared to similar ones
1,I was excited for these headphones as I liked the ear piece to hold them in place while exercising. The problem I experienced was that my ears are too small for the silicone hooks. They stick up over the tops of my ears and in no way help hold the headphones in place. The sound coming out of these is fantastic and I don't need to turn the volume up nearly as loud as with a previous pair of Bluetooth headphones. I was able to make these work by placing the ear grip under by headband but obviously that would not work for everyone. These would be five stars if the ear piece was either adjustable or came with interchangeable sized pieces.
