text,asin
This is a generic product sold under a few different brand names. The fit of these buds in my ear canal is poor for my ears - they will not stay in place no matter which ear tip I use. The sound quality is muddy base that washes out the entire sound. I will return these and continue my search.,B01G8JO5F2
"They work pretty we.. Have been using them when I am shoveling snow and they are very nice. Sound quality is on par with my corded skullcandy. Have plenty of bass. Battery life seems to be good as well. Also have worn them for several hours and they do not become uncomfortable after longer periods like some of the other headphones I have owned. The over the ear piece is a floppy piece of silicone, but it seems to be enough resistance to keep them in place. I will be buying them again if I need replacements.",B01G8JO5F2
Good quality headphones. Very good sound and bass. Very easy to pair. Connects when turned on faster than any Bluetooth headphones I have used.,B01G8JO5F2
"These make exercise bearable!  Comfortable and easy to use, w/ a compact yet sturdy case.  Came w/ 3 different sizes of ear plugs.  I would STRONGLY recommend these.",B01G8JO5F2
Good sound just a bit bulkier than I thought.,B01G8JO5F2
"Easy to connect and the sound is fantastic. Much better than the apple ear buds I'm used to using.  I'll have to play with the different sized earbuds to see which one fits my ear better, but otherwise is a very good buy.",B01G8JO5F2
Stopped charging after 2 months,B01G8JO5F2
Great stuff,B01G8JO5F2
"I have purchased these for my husband and my father. They both rave about how loud, comfortable and long lasting they are, and they both wear them to run and mow grass.  My stepmother bought a pair for herself after trying them, and I’m just waiting for price to go back down to get them for myself. I just wish they care in different colors.",B01G8JO5F2
Fast delivery. It also gave me a good and sturdy feeling when I am holding the product. It is still new for me and just used a few days with no issues during my exercise.,B01G8JO5F2
"These are the best I have tried,  after trying many different brands to find some that we're good,  the sound is amazing,  the fit is amazing and you can tell it is a quality made product.  They are very comfortable.  Just to add I have never left a review before on my Amazon purchases and this one I had to because these headphones are impressive!",B01G8JO5F2
"Very lightweight, good balance, great sound!",B01G8JO5F2
"I purchased mine based on the Amazon reviews. Everything looked good.<br /><br />However the one I received had an issue. I sent the seller an email and  I got a reply back in less than an hour. They certainly wanted to help and provided a suggestion on how to resolve the problem. The next day I tried, and it didn't work.<br /><br />Sent another email, and again, less than an hour for a reply. They let me know another was on its way.  In a few days I had a new working unit.<br /><br />So it's great when the product works, but I think it says a lot more when the seller is so invested in making things right. 6 Stars.",B01G8JO5F2
Nice unit,B01G8JO5F2
Good product,B01G8JO5F2
"This review is for the ActivBuds S-250. I like these earbuds very much. They have a long playing time and have a pleasing sound quality. I use them with Comply foam tips which greatly improve the comfort and sound. Comply tips come in a variety of sizes, shapes, and sound isolation and are a positive addition to any buds. One improvement I would  like to see would be cloth braided connecting cable between the two buds. The rubber cable sticks to the back of my neck sometimes and it will dislodge the buds from one or both ears. I usually wear them with the cable in front of my neck and flip it to the back if I am going to take them out. I like these earbuds because the controls are easy to use and are ergonomically designed. The charge plug is easy to put in and the buds hold a charge for a long time. The playing time is quite good and is at least equal to the time claimed by the vendor. All in all a comfortable set of buds with sweet sound. (I also have a set of the S-255 buds and am not happy with the flimsy ear hooks. Fortunately, the Comply foam tips keep them in my ears as the hooks are quite useless.) I have several pair of these buds because I have a number of Bluetooth sources and the buds, like most Bluetooth devices will only pair to two at a time. Bluetooth 5, which will be released any day now, is claimed to allow several devices to pair.",B01G8JO5F2
"Looks like it is a defective piece, the person on the other side cannot hear me and it happen every time I use it. Returning it !",B01G8JO5F2
Best headphones I've used @ 100$ or less,B01G8JO5F2
"Can't get the volume low enough to be comfortable in quiet environments or in bed--with both phone and headset controls on lowest without actual muting, they're stll not quiet.  Otherwise they're quite nice.",B01G8JO5F2
"For the price, great headphones!!",B01G8JO5F2
these headphones really are great.  they synced up with no problem and were really comfy.  I havnt not taken them on a run or done any crazy outdoor stuff yet but they feel good in my ear and they sound good.  good battery life too,B01G8JO5F2
"Pair easily, sound quality is good.  Can use as wireless headset to talk on the phone.  Holds charge for long period of time.",B01G8JO5F2
"Works well as described, used in the hot tub this evening! Joys of Bluetooth and waterproofing! Made a call as well and heard/spoke fine.  Great value for the price!",B01G8JO5F2
"Great! Ran with them to day, had a problem with my old ones falling out. Highly recommend these so far.",B01G8JO5F2
"My primary use for these headphones is for meetings using Skype for Business. I've had these headphones for a week now and have used them for over 15 hours of meetings in that time, paired with my laptop. The most important thing for me was whether my audio was good enough according to the other persons on our group calls, and they agreed that the sound coming through was very clear. I also could hear very well, so I am pleased with the end result and the quality overall.<br /><br />Pairing with the iPhone was a snap; the Kindle Fire HDX was not as cooperative, but eventually it paired well and the sound is very good. My Windows 10 laptop is a bit more challenging to pair and manage, BUT that's not the fault of the headphones, it's just a bit tricky to figure out which setting controls the levels for my audio. Once I found that among the Windows settings, it was fine. As soon as I turn on the headphones, The ActiveBuds connect promptly to the laptop.<br /><br />As noted by another reviewer, the placement of the On/Off button is a little awkward; you do feel like you're pushing the right earbud further into your ear canal. But with a lighter touch and a slightly different angle, you can power on and off without difficulty. I found the volume up/down tricky because you press the front of the toggle switch to turn it down rather than the back end. But both of these are minor, and once you get the hang of it, they're not an issue.<br /><br />I have watched and listened to TV and movies on my Kindle and my iPhone, and the overall sound quality is quite good. I'm not listening to music with a great bass beat, so I can't comment on that, but I am an audiophile. For the price and ease of use, these headphones are everything I need. When I want to listen to classical music, I put on my big headphones anyway. These SENSO headphones fit neatly in my purse, and I'm very pleased with them.",B01G8JO5F2
"I'm still getting used to how the ear pieces work, and the need to charge them after every gym session, but otherwise they are comfortable, have great sound, and are easy to use.",B01G8JO5F2
use this all the time and great,B01G8JO5F2
"Didnt work well for me.  Everytime I tried to sync it to my bluetooth, it would take about 30 minutes.  Def not worth it.  When it did work, it was a great  sound.  I found another for 10$ cheaper and it works everytime.  Not sure what the hoopla is on this...but it didnt work well for me.",B01G8JO5F2
"Sounds good.  Very easy to program.  Not as low-profile as I would have liked, but they get the job done.",B01G8JO5F2
Good sound ...,B01G8JO5F2
Bought three pair of these for myself and my two sons to use while biking and working out. They were great for a few months then ALL THREE PAIRS STOPPED CHARGING.  Now they are useless. We followed the directions and didn't overcharge them - but no matter - they all stopped working. WASTE OF MONEY.,B01G8JO5F2
"I was a bit skeptical that these would work very well for being so affordable, but I have been extremely impressed by the rich sound, comfortable fit, and easy controls.  I got them for working out and they stay on very well when jogging.  You can't tell from the pictures but the ear pieces are soft flexible rubber that fit comfortably over the ear. It is very lightweight too.  I highly recommend for the price and quality.",B01G8JO5F2
Light weight n easy to use!,B01G8JO5F2
"Very good sound, long lasting battery",B01G8JO5F2
"Great sound quality and I enjoyed them until a week ago when they stopped charging. It doesn't matter which charger I use, they charge all night and notify me of &#34;low battery&#34; as soon as I wear them. They lasted almost 3 months :/<br /><br />*** UPDATE: The customer service from Invotek is prompt and outstanding. They were willing to do a full refund if a reset didn't work, but gave me instructions on how to do it, and the issue has resolved. In case you have the same issue or any other malfunction, here's the snippet from the email with instructions on how to do resolve it:<br /><br />&#34;Let's try a factory reset for your Senso headphones which usually fixes most similar issues related to the issue you are facing with your headphones.<br /><br />1. Reset the Senso headphone to factory settings (while plugged into a power source, press/hold the power button for 7 seconds).<br />2. Unplug the headphone from charging cable and power them on.<br />3. Enter the earbuds into the pairing mode and follow instructions for connecting.<br /><br />Also, the issue you have described is common all Bluetooth devices as the connection between the two devices gets &#34;corrupted&#34; and needs to be re-configured.  In order to do that, please `Forget the Device` on your mobile phone for the Senso headphones and try pairing again.  In your Bluetooth settings on your phone, you will see all detected Bluetooth devices.  Click on the Senso ActivBuds option and click on Forget this Device.  Next pair your headphones to your mobile device once again as shown in the instructions manual.<br />I am confident that this will fix your issue.<br /><br />Also, you are covered by our 1 Year Warranty, so you have nothing to worry about in case these don't work.&#34;<br /><br />I have many pairs of Bluetooth headphones and these are my favourite due to comfort and sound quality. So happy they are working perfectly again!",B01G8JO5F2
"Great quality product. I love the noise canceling quality. It will tell you when you turn them on, connect to your device, and power off.",B01G8JO5F2
Early review and I'd give everything a 4 star based on 3 days of ownership.,B01G8JO5F2
"Tienen muy buen sonido, excelente calidad y tiempo se batería",B01G8JO5F2
"I waited before reviewing these! I have to say for the price they are really good..I had a really expensive pair that died on me after minimal use, these are comparable.",B01G8JO5F2
I usually don’t write reviews but this headphone Worked extremely well almost close to a year... sound effects were good and excellent noise cancellation ... When it stopped working I still had the warranty when I contacted the customer service they provided exceptional service.... Will order again in the future...Highly recommended... 5 stars for the quality and to the Service...,B01G8JO5F2
Great for the price. Always works well. Fit great.,B01G8JO5F2
spectacular the best I recommend,B01G8JO5F2
"I’ve had these since 2017. I’ve wore them running, weight training, mountain biking, rain/sweat.  These have lasted! I’m writing a review three years later because I accidentally left these in my hoodie pocket and they went through a washer and a dryer.  Guess what? Listening to music with them as I write this review! I’ve used beats, jaybirds, and skullcandy. These are the best I’ve owned because of price and their integrity.",B01G8JO5F2
"My wife got these for me for Christmas because my old, $16 (like 25 year old) Sony ear hook buds finally fell apart. I've been writing a book and using Speechify for editing, using these earbuds. Initially, I liked that there were different sized silicone pieces to fit different size ear-holes. The sound quality seemed fine, and they were a bit bulky, a bit loose, but seemed not bad for $20. So now (1/10/21, or 17 days later) the charging port broke loose from the solder joints which affixed it to the little printed circuit board inside. Anyone who knows anything about wiring and electronics can tell you that a solder joint on a circuit board is inadequate to secure something that is going to have pressure put on it repeatedly due to plugging and unplugging. Obviously no one at Senso thought of this, or cared enough to put it into practice.<br /><br />This is all part of a larger problem which is what is known as 'planned obsolescence' or put simply 'making things cheap so they break quickly (usually just after warranty expires) and you have to buy another one'. It's happened to phones (buy a new iPhone every 2 years), audio equipment, cars, televisions, and computers (don't get me started on the crap Dell sells, and forget getting any support from them).<br /><br />AMAZON, if you're LISTENING, stop selling CRAP from SHADY SELLERS!  Stop allowing companies to bribe customers for 5-star reviews.  It makes reviews worthless and untrustworthy. Also, your buyers are obviously getting kickbacks, or if not they are terrible at judging quality. Either way, I cannot find good Bluetooth earbuds anywhere on the site.  Even the Beats audio ones you sell for $110 are lousy with quality issues.<br /><br />Disappointed, AMAZON. You own the internet but you can't sell quality electronics to save your lives.",B01G8JO5F2
I bought this headphone for a second time since I have lost my first one recently.  The quality of this product is degraded comparing to the first one.  The very short charging cable came with the box has a wrong connector type but luckily I still have to first charging cable so it not an issue but it would be for you if you did not have the correct charging cable.  The blue LED light on the headphone to indicate the full charged battery is not working.  The LED turn from Red (charging) to no light indicator.  Luckily I have sync the headphone to my phone so I can see the headphone battery full on my phone.  I will try a different product the next time.,B01G8JO5F2
"I bought these to run with but found them way too bulky and uncomfortable.  However, I'm giving them a good rating because they survived a journey through both the washer and drier and seem none the worse for the wear.  They're perfectly serviceable for chores around the house, going on walks, etc.",B01G8JO5F2
Works very well. Second pair bought as a gift. Long lasting.,B01G8JO5F2
"Great sound, functionality ++, good battery life, great price and value. Wide variety of ear size adapters. This is the 2nd pair that I have owned. 1st set stopped functioning after about 2 1/2 months. Senso immediately sent me a replacement with no hassle. New set is going on 2 months old now and still love them.",B01G8JO5F2
These were alright. I did not like the hooks over the  ears. Static did occasionally occur while playing music.,B01G8JO5F2
Overall great set of headphones,B01G8JO5F2
Works great! Came in excellent condition and all the pieces.,B01G8JO5F2
"Awesome sound, super fast delivery!",B01G8JO5F2
The design is good. Sound quality is awesome.,B01G8JO5F2
"I like that it has the same components as AirPods which is why I bought them. I dislike that it sometimes cuts off out of nowhere or I hear a weird beeping noise sometimes while listening to music, but it is not a big deal, especially for the price. I like the bass and how loud and clear the volume is.",B01G8JO5F2
Best tou will find for the price,B01G8JO5F2
For this amount of money is fair enough..not the best sound but still acceptable.,B01G8JO5F2
Greatttttt,B01G8JO5F2
Like nice simple headphones,B01G8JO5F2
So far so good.,B01G8JO5F2
So far so good. Have used it a handful of times and it’s seems to be working great so far. Loud enough & it does cancel out noise.,B01G8JO5F2
I love these ear buds. Very comfortable and the sound is great. I bought one for my daughter too.,B01G8JO5F2
"I’ve had these for years but like many others they randomly disconnect and beeps. You have to turn off the earphone and turn off Bluetooth on your phone. Then you have to then on blue tooth, ear phones and pair again to get it to work. It’s really annoying. Other than that, the sound quality is good and it stays in the ear.",B01G8JO5F2
"I LOVE these headphones. I was wearing them when my granddaughter saw them. Boom, gave them to her and ordered again. I wear them all the time and lost order #2, hopefully they’ll turn up somewhere in the house!  I am now on order #3 and truly can’t say enough about them. You don’t order 3 times unless you LOVE them. Great sound, long lasting, perfect fit.",B01G8JO5F2
They worked well for about six months until they lost capability to connect to my desktop. They pair but they cannot connect. Everything I’ve tried didn’t work. I tried to get in touch with the manufacturer but it is impossible to contact them and/or to download a new driver!!! Their website is a dead end! There is absolutely no support! Very frustrating!,B01G8JO5F2
Couldnt stay connected. Static-y when it was. Returned pretty quickly.,B01G8JO5F2
To listen to my music,B01G8JO5F2
"After several times of using this in the pool, briefly submerged , the volume controls stopped working then one side is louder than the other.",B01G8JO5F2
"Really nice great sound great microphone, everything is good but couple things it falls of the ear easily and it's kinda big",B01G8JO5F2
Perfect headphones for working out!,B01G8JO5F2
Worth the money!,B01G8JO5F2
Love the bass and clarity of both bass and treble. If you don't like too much bass. You can just switch out the ear gel size for a smaller one and the bass will lessen. The great thing is this is already provided. I personally like alot of bass and I'm a super happy customer. It also fits comfortably. Also pretty cool that it comes with its own case and a key chain. 😊,B01G8JO5F2
Works great,B01G8JO5F2
"it was perfect, good sound, good everything. I charged it and it didn't take the charge.  i got them exchanged and after a month of use the same issue...  I wouldn't recommend this product.  I want my money back",B01G8JO5F2
"This is my second pair I have purchased. I have one for work and for home. I use them both for daily workouts and to listen to audio books, pod casts, news and music .",B01G8JO5F2
These headphones died during their warranty period.  Manufacturer will not stand behind their product.  Don't waste your money.,B01G8JO5F2
"I was really exited about these..I'm an audiophile..love my music<br />I listen to music in the shower but live in an apartment complex so I worry bout bothering my neighbors...<br />if you want these for listening in the shower you better have your blue tooth source about 3 feet away<br />as soon as it gets wet...PPPPPPPPPPPP<br />constant disconnections and blips<br />just to let you know..I have a top of the line blue tooth extender too<br />and a set of Tranya bt ear buds that ABSOLUTELY ROCK!!!!<br />sound great and I can go across the hall and do my laundry and go completely out of the building to get my mail and they still stay 90% connected<br />don't get me wrong...for workin out,maybe rain...ok<br />but takin a shower with em,,,,not so much<br />I'm hopin Tranya will come out with a ""shower""set<br />P.S.<br />the whole ""shower"" thing isn't advanced enough yet so beware<br />I bought a set of<br />True Wireless Earbuds xFyro xS2 Bluetooth Headphones Microphone IPX7 Waterproof<br />they were even worse<br />so the both of them will sit up in the top of my closet doin nothin<br />just beware and give the shower thing a little more time to tweak<br />good luck<br />good life",B01G8JO5F2
"What i really like the most is how part that goes over the ears is bendable to fit your own ear. I had a pair the didnt have anything and they kept falling out of my ears and it was annoying. As far as music, it does have more bass then i would have expected and you cant adjust it, so it your dont like a lot of bass then this isnt for you. Over all i am satisfied with these head sets.",B01G8JO5F2
"This is my 4th set of these earbuds.  The sound and battery life are good as expected.<br /><br />Each time the content and quality seems to be slipping.  Gone are the foam inserts and the extra magnetic phone holder pieces.  I can accept this - I understand that companies need to be profitable and optimize the product content for things the customer is willing to pay but I do expect basic things like minimal build quality and some form of customer service when things don't go well. .<br /><br />I really wanted to like these earbuds but unfortunately, there is an annoying rattle coming from the right side earbud.  The rattle drowns out the music while running/jogging.  I have attempted to contact the company via their website but no response as of 2 weeks.  I'm a bit concerned they will not stand behind their product.  Just disappointing.  Buyer beware...",B01G8JO5F2
The only complaint I have is that connecting two devices doesn't work very well.,B01G8JO5F2
"I got these in August and after having them for only a little more than a month connecting them has become impossible. Just have to keep trying over and over - takes at least 5 minutes to connect every time. This pair has a super loud ""Connected"" and ""Disconnected"" voice for some reason - no way to turn it down or figure out why. Last, on this pair the ear hooks are so uncomfortable. Last pairs were flexible and wrapped easily around ears, until last pair became overly flexible and wouldn't stay on at all.  I missed the return cutoff by a week so now I'm out $30 because I have to get something else.",B01G8JO5F2
"These are our “go to” wireless earphones for sports.  They work well, sound good, and are a good buy.",B01G8JO5F2
"Good quality, relatively reliable, last long. Bought second set.",B01G8JO5F2
These buds are well worth the price. Sound and construction are solid. Found adjustable ear hooks excellent at holding buds in place. Highly recommended.,B01G8JO5F2
Love the sound,B01G8JO5F2
I saw the reviews on this headphones and I just had to try them. For the price I couldn't go wrong. I was so happy with the packaging and the little container it came with. The sound quality is really good. I forget to charge them and they last pretty much the whole day while I am at work. A great feature is that I can connect both my phone and computer at the same time. Also when you take a phone call you can hear on both ears. I would definitely purchase these again.,B01G8JO5F2
"Very disappointed in the lifespan. Less than a year after getting them, they just stopped working. Won't even power on now. You can plug them in to charge, and it shows a full charge the moment it's plugged. But, they are dead. Right in the middle of a song, and boom, no more.",B01G8JO5F2
"I like the sound. Use when exercising. Like that I can adjust the earpiece around my ear. But, as usual, I have difficulty keeping an earbud in my ear. However, Senso fits better than any other brand.",B01G8JO5F2
I was going to return them because the instructions on how to charge headphones was inaccurate. The red light did not come on indicating they were charging. I called tech support and after numerous attempts they agreed they would not charge. They were sending me a replacement set and a return postage sticker. I decided to try them a day later and they worked excellent. I listened to music for over 7 hours. I am guessing somebody charged them then returned them. The red light now comes on when charging but the blue light never luminates. I love these headphones and decided to keep the replacement set to give as a gift. Great product for the money.,B01G8JO5F2
Bluetooth range is pretty bad; definitely can't  go more than 20 feet without them cutting out and have owned them since 2018 Jan.  Neither my husband or I would not recommend these at all.,B01G8JO5F2
"These were great for the first few months of use. After that I began having connection issues. The headphones would sync up and play for a little while then it would drop the signal reconnect, then drop signal again until I turn off head phones and re-pair again... lame.",B01G8JO5F2
"After a few months of regular use, the left earbud on the Senso headphones stopped working. When I sought support, the company told me to factory reset them. When that did not work, they stopped communication and did not fulfill their warranty.",B01G8JO5F2
"It is a nice product, but not good for swimming. Stop working after few minutes in the pool.",B01G8JO5F2
Teen son is happy.,B01G8JO5F2
I needed something like this for my workouts! So glad they work just great!,B01G8JO5F2
"These headphones are comfortable and reliable. When I had an issue, the customer service was very quick and helpful.",B01G8JO5F2
These are good for general use but they have a very limited blue range. Often they don’t work in colder weather too at or below 40 degrees. While running the reception is spotty and i’d often hear my music cut out which is not something you want during a run. I had to buy a different brand after all that.,B01G8JO5F2
"Cheap, you get what you pay for unfortunately, they broke after a year.",B01G8JO5F2
Works better than expected,B01G8JO5F2
I ordered these headphones because they had lots of good reviews on Amazon. However once I received them I was disappointed with there overall product.<br /><br />What I liked:<br />- they where only 20 bucks<br />- they came with a nice storage case<br /><br />What I disliked:<br />- cheep bulky construction<br />- poor noise canceling (if any)<br />- horrible sound quality<br />- no fine tunning volume adjustment<br /><br />The headphones where bulky and did not fit snuggly in my ear (even with the difference earpieces) they definitely we're not noise canceling.<br /><br />The sound was vary bass-y okay for pop or like Daddy Yanky but you didn't get a nice crisp sound. Also at higher volume it was very distorted.<br /><br />I was unable to make fine adjustment to the volume at lower volume. It was either way too loud or not loud enough.<br /><br />I will be returning them I'd trying something else.,B01G8JO5F2
works great no problems at all,B01G8JO5F2
"The product its good and more if you see the price the customer service its really good, i can buy it again, my only little issue its sometimes when i run i feel it little loose but not a big issue this is my third (i give the other ones and they are happy to) i buy and I going to buy another.",B01G8JO5F2
"Good fit, ease of use and setup and great sound.Used them while cutting the grass and had to pump up the volume ,but good product for a great price.",B01G8JO5F2
"These little bluetooth over the ear headphones are great. They have an impressive range, and still work with clear reception when my phone is downstairs and I am upstairs. They're quite comfortable in ear, and the grip around the ear is soft and very flexible to keep the earphones in place. The sound quality is great, very clear, but not fully noise cancelling. For me, as every day headphones, this is totally fine. For an airplane or a loud situation, I'd probably still opt for higher end headphones (bose, etc), but these are very good for day to day stuff. They stay in place, don't shift around, and all of the controls are easily on the headphones, so you can turn them on/off, adjust the volume, etc. without having to touch your phone. For the price, these are great, comfortable headphones for blue tooth enabled devices.",B01G8JO5F2
They are still working but the cord is cracking I can see the interior wires.,B01G8JO5F2
Wow.. these are great! Don’t fall out of my ears and came with extra ear puds,B01G8JO5F2
"For an inexpensive pair of headphones they are decent. I used mine at the gym and mowing the yard only. Best thing I can say about these is they stay in place. There is no bass or noise canceling at all. After 6 months of use, I could only Bluetooth pair with one device, tried with different devices and would get a connected notification but no music playback. Now, a year out they do not work at all, can not turn on. If you do not mind replacing every year go for it, just do not expect quality.",B01G8JO5F2
"Awesome Headphones, sound quality is fantastic.  These are awesome for walking and running and being able to have a telephone conversation on the fly.  I would recommend these to anyone and everyone.  Thank you SENSO for such a great product at a great price.",B01G8JO5F2
Nice,B01G8JO5F2
"Great product! Exactly what the dialog states what the product can do and how good the quality of the product is. I woild know because I am an fan of sound and comfort xoiple with durability and these headphones have it all, great product, thank you for putting something of this quality and price out there!",B01G8JO5F2
Good product,B01G8JO5F2
Great headphones!  My husband was given the expensive wireless headphones from his boys for Christmas.  They broke within 3 months.  We replaced with these and they work great,B01G8JO5F2
Purchased lots of bluetooth headphones  but this one is completely different...I mean is awesome and I really love it. Guess I'm gonna buy two more. I use it for running,B01G8JO5F2
"The sound is good. They are comfortable. I find that the switch control box tends to drift and hang to the right side a lot and doesn't stay in the center.  one of the main problem is, I am only getting about 2 hours out of a charge then the music starts to sound like a record skipping (for those who where around and remember that) this was one of my first blue tooth experiences so maybe that 2 hrs. is normal?",B01G8JO5F2
"This are good headphones. The only, but major, downside is that they stopped working after 2 years. And its not that I used them every day during this time. I use them mostly during the weekends. Meaning they lasted around 200 days which is the equivalent of 6 months if you use them daily. Sound quality was good.",B01G8JO5F2
Terrible. Stopped charging after a few uses. Do not waste your money,B01G8JO5F2
"This is my second pair. I thought I had lost my first pair but then found them. They both have good sound,etc. but the first pair had springy things that go around your ear to hold it in place. They worked great. The new ones had something like a stiff wire inside that I guess was meant to fold and bend around your ear for a custom fit. It doesn't work. It is difficult to make them fit, and as soon as you take them off the ""fit"" gets bent as you take them off. I think that the bendy wire will fatigue and break given time. Go back to the first version, people!",B01G8JO5F2
S-255s used to have a wire inside the silicone piece that fits around the ear so it was truly adjustable - but the 2 pairs I have ordered no longer have this feature - shame because it was very helpful,B01G8JO5F2
as title,B01G8JO5F2
I bought these two years ago to the day and they’re still rockin! I’ve put them through many sweaty days and rough b-ball pick up games. Impressed 😌,B01G8JO5F2
"So far this has been an awesome, cheap, better quality than any products I have purchased on any type of headphones. I’ve only had this for a day and the sound is amazing. I didn’t star the battery life yet since I only had it for 4hrs. But I will come back for another review once I start using this more.",B01G8JO5F2
"The product does exactly what it is supposed to. So Quality is OK to feel on your ear is OK, and the frequency is good as well.",B01G8JO5F2
Cheap wireless inear headphones. However they broke inside my backpack while not in the case....might have been my fault.,B01G8JO5F2
Great headphones for a affordable price.,B01G8JO5F2
I like everything about this product. I would be recommending it  to all my friends and family,B01G8JO5F2
"Second pair purchased..ugghh.. first pair are awesome.. However, the newer pair have adjust ear holds that bend.. they are terrible.. i can't get thru an excerise without them falling out.. The first pair has sturdy plastic hold ins which are great.. Sooo until they go back to original design DO NOT PURCHASE!",B01G8JO5F2
Lasted longer than any of the expensive brands ive bought,B01G8JO5F2
Good for price. Great noise quality!,B01G8JO5F2
I purchased a activbuds s-250 2.5 years ago. I've run multiple half and full marathons with them and loved them.  When they got stepped on I researched and purchased activbuds A1. They have the same great sound. Better bluetooth (my opinion). Better range. They seem to fit better since the ear hooks are easy to adjust. Plus for the money it is hard to find a better value.,B01G8JO5F2
"I ordered these headphones a month ago and the connector to recharge them has broken off inside the headphones.  I've had several pairs of headphones with this type of connector and have never had any issues with them.  So these are now useless as they can't be recharged.<br /><br />Additionally, if there is any slight breeze outside, all you can hear in the wind whipping in the  headphones.  You have to turn up the volume to hear your music, then you are blasting your ears off.  Also, after working out for about 20 minutes (I sweat a lot), the right earphone won't stay in my ear.<br /><br />Terrible headphones.  I would not recommend this brand.",B01G8JO5F2
"These are a good buy for the price. I use them for running. They don't have the highest quality sound you've ever heard, and they don't cancel noise from wind very well (and traffic noise not at all), but they're great if for running in quieter areas. I'm happy to be free of cords going into my phone for an affordable price.",B01G8JO5F2
"I can honestly say for the price, the quality and battery life are perfect.  From the first day and on, the battery has been phenomenal.  I got a full day of work (almost 8 hrs) out of each charge so far and it's been awesome.",B01G8JO5F2
I use these at teh gym and absolutely love the sound from them. I believe mine are 2 years old now and I still love them.,B01G8JO5F2
"Sounds great, fits my ear good even while running, very affordable.",B01G8JO5F2
For the price the quality is great.,B01G8JO5F2
